temperature,red,green,blue
4435,255,242.0607332,206.4144148
4440,255,242.1264718,206.6058344
4445,255,242.1920647,206.7969694
4450,255,242.2575125,206.9878203
4455,255,242.3228156,207.1783877
4460,255,242.3879742,207.368672
4465,255,242.452989,207.5586737
4470,255,242.5178601,207.7483934
4475,255,242.5825882,207.9378315
4480,255,242.6471735,208.1269885
4485,255,242.7116165,208.315865
4490,255,242.7759176,208.5044613
4495,255,242.8400772,208.6927781
4500,255,242.9040957,208.8808158
4505,255,242.9679735,209.0685749
4510,255,243.031711,209.2560559
4515,255,243.0953086,209.4432592
4520,255,243.1587666,209.6301855
4525,255,243.2220855,209.8168351
4530,255,243.2852658,210.0032085
4535,255,243.3483076,210.1893063
4540,255,243.4112116,210.3751289
4545,255,243.473978,210.5606769
4550,255,243.5366072,210.7459506
4555,255,243.5990997,210.9309506
4560,255,243.6614557,211.1156773
4565,255,243.7236758,211.3001313
4570,255,243.7857602,211.4843131
4575,255,243.8477094,211.668223
4580,255,243.9095237,211.8518616
4585,255,243.9712035,212.0352294
4590,255,244.0327492,212.2183268
4595,255,244.0941612,212.4011544
4600,255,244.1554399,212.5837125
4605,255,244.2165855,212.7660017
4610,255,244.2775985,212.9480225
4615,255,244.3384793,213.1297752
4620,255,244.3992283,213.3112605
4625,255,244.4598457,213.4924787
4630,255,244.520332,213.6734304
4635,255,244.5806875,213.8541159
4640,255,244.6409126,214.0345358
4645,255,244.7010076,214.2146906
4650,255,244.760973,214.3945807
4655,255,244.8208091,214.5742065
4660,255,244.8805162,214.7535686
4665,255,244.9400947,214.9326674
4670,255,244.9995449,215.1115034
4675,255,245.0588673,215.290077
